
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

	<CurrencyName> #tm_ruble												// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
		<Currency> MoneyRuble1, 	1										// Currency Classname, Currency Money Value
		<Currency> MoneyRuble5, 	5
		<Currency> MoneyRuble10, 	10
		<Currency> MoneyRuble25, 	25
		<Currency> MoneyRuble50, 	50
		<Currency> MoneyRuble100, 	100


<Trader> Consume Trader														// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables													// Category Name
		CaninaBerry,								*,		1,			-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,								*,		1,			-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,										*,		10,			-1	// Buyvalue -1 means it can not be bought
		Kiwi,										*,		10,			-1	// Sellvalue -1 means it can not be selled					  


	<Category> GAZ_33081
				GAZ_33081,		                        VNK,		215000,	106000
				GAZ_33081_wheel,		                *,			1000,	450
				GAZ_33081_doors_driver,		            *,			1650,	800
				GAZ_33081_doors_codriver,		        *,			1650,	800
				GAZ_33081_doors_cargo1,		            *,			1650,	800
				GAZ_33081_doors_cargo2,		            *,			1650,	800

	<Category> UAZ_31519_Police
				UAZ_31519_Police,		                VNK,		120000,	55000
				UAZ_31519_Police_wheel,		            *,			1000,	800
				UAZ_31519_Police_doors_driver,		    *,			1650,	800
				UAZ_31519_Police_doors_codriver,		*,			1650,	800
				UAZ_31519_Police_doors_cargo1,		    *,			1650,	800
				UAZ_31519_Police_doors_cargo2,		    *,			1650,	800
				UAZ_31519_Police_doors_trunk,		    *,			1650,	800
				UAZ_31519_Police_doors_hood,		    *,			1650,	800


	<Category> Mercedes_G4_W31
				Mercedes_G4_W31,		                VNK,		1000000,	400000
				Mercedes_G4_W31_Wheel,		            *,			1000,	800
				Mercedes_G4_W31_doors_driver,		    *,			1650,	800
				Mercedes_G4_W31_doors_codriver,		    *,			1650,	800
				Mercedes_G4_W31_doors_cargo1,		    *,			1650,	800
				Mercedes_G4_W31_doors_cargo2,		    *,			1650,	800
				Mercedes_G4_W31_doors_trunk,		    *,			1650,	800
				Mercedes_G4_W31_doors_hood,		        *,			1650,	800


	<Category> UAZ_27722_mchs
				UAZ_27722_mchs,		                    VNK,		140000,	65000
				UAZ_27722_ambulancia,		            VNK,		140000,	65000
				UAZ_27722_ambulancia2,		            VNK,		140000,	65000
				UAZ_27722_mchs_wheel,		            *,			1000,	450
				UAZ_27722_mchs_doors_driver,		    *,			1650,	800
				UAZ_27722_doors_driver_ambulancia,		*,			1650,	800
				UAZ_27722_doors_driver_ambulancia2,		*,			1650,	800
				UAZ_27722_mchs_doors_codriver,		    *,			1650,	800
				UAZ_27722_doors_codriver_ambulancia,	*,			1650,	800
				UAZ_27722_doors_codriver_ambulancia2,	*,			1650,	800
				UAZ_27722_mchs_doors_cargo1,		    *,			1650,	800
				UAZ_27722_doors_cargo1_ambulancia,		*,			1650,	800
				UAZ_27722_doors_cargo1_ambulancia2,		*,			1650,	800
				UAZ_27722_mchs_doors_trunk,		        *,			1650,	800
				UAZ_27722_doors_trunk_ambulancia,		*,			1650,	800
				UAZ_27722_doors_trunk_ambulancia2,		*,			1650,	800
				UAZ_27722_mchs_doors_hood,		        *,			1650,	800
				UAZ_27722_doors_hood_ambulancia,		*,			1650,	800
				UAZ_27722_doors_hood_ambulancia2,		*,			1650,	800


	<Category> IJ_2125_Kombi
				IJ_2125_Kombi,		                    VNK,		90000,	44000
				IJ_2125_Kombi_beg,		                VNK,		90000,	44000
				IJ_2125_Kombi_green,		            VNK,		90000,	44000
				IJ_2125_Kombi_orange,		            VNK,		90000,	44000
				IJ_2125_Kombi_red,		                VNK,		90000,	44000
				IJ_2125_Kombi_wheel,		            *,			1000,	450
				IJ_2125_Kombi_doors_driver,		        *,			1650,	800
				IJ_2125_Kombi_doors_codriver,		    *,			1650,	800
				IJ_2125_Kombi_doors_cargo1,		        *,			1650,	800
				IJ_2125_Kombi_doors_cargo2,		        *,			1650,	800
				IJ_2125_Kombi_doors_hood,		        *,			1650,	800
				IJ_2125_Kombi_doors_trunk,		        *,			1650,	800
				IJ_2125_Kombi_doors_driver_beg,		    *,			1650,	800
				IJ_2125_Kombi_doors_codriver_beg,		*,			1650,	800
				IJ_2125_Kombi_doors_cargo1_beg,		    *,			1650,	800
				IJ_2125_Kombi_doors_cargo2_beg,		    *,			1650,	800
				IJ_2125_Kombi_doors_hood_beg,		    *,			1650,	800
				IJ_2125_Kombi_doors_trunk_beg,		    *,			1650,	800
				IJ_2125_Kombi_doors_driver_green,		*,			1650,	800
				IJ_2125_Kombi_doors_codriver_green,		*,			1650,	800
				IJ_2125_Kombi_doors_cargo1_green,		*,			1650,	800
				IJ_2125_Kombi_doors_cargo2_green,		*,			1650,	800
				IJ_2125_Kombi_doors_hood_green,		    *,			1650,	800
				IJ_2125_Kombi_doors_trunk_green,		*,			1650,	800
				IJ_2125_Kombi_doors_driver_orange,		*,			1650,	800
				IJ_2125_Kombi_doors_codriver_orange,	*,			1650,	800
				IJ_2125_Kombi_doors_cargo1_orange,		*,			1650,	800
				IJ_2125_Kombi_doors_cargo2_orange,		*,			1650,	800
				IJ_2125_Kombi_doors_hood_orange,		*,			1650,	800
				IJ_2125_Kombi_doors_trunk_orange,		*,			1650,	800
				IJ_2125_Kombi_doors_driver_red,		    *,			1650,	800
				IJ_2125_Kombi_doors_codriver_red,		*,			1650,	800
				IJ_2125_Kombi_doors_cargo1_red,		    *,			1650,	800
				IJ_2125_Kombi_doors_cargo2_red,		    *,			1650,	800
				IJ_2125_Kombi_doors_hood_red,		    *,			1650,	800
				IJ_2125_Kombi_doors_trunk_red,		    *,			1650,	800


	<Category> GAZ_M20
				GAZ_M20,		                        VNK,		140000,	65000
				GAZ_M20_white,		                    VNK,		140000,	65000
				GAZ_M20_green,		                    VNK,		140000,	65000
				GAZ_M20_black,		                    VNK,		140000,	65000
				GAZ_M20_red,		                    VNK,		140000,	65000
				GAZ_M20_blue,		                    VNK,		140000,	65000
				GAZ_M20_wheel,		                    *,			1000,	450
				GAZ_M20_doors_driver,		            *,			1650,	800
				GAZ_M20_doors_codriver,		            *,			1650,	800
				GAZ_M20_doors_cargo1,		            *,			1650,	800
				GAZ_M20_doors_cargo2,		            *,			1650,	800
				GAZ_M20_doors_hood,		                *,			1650,	800
				GAZ_M20_doors_trunk,		            *,			1650,	800
				GAZ_M20_doors_driver_white,		        *,			1650,	800
				GAZ_M20_doors_codriver_white,		    *,			1650,	800
				GAZ_M20_doors_cargo1_white,		        *,			1650,	800
				GAZ_M20_doors_cargo2_white,		        *,			1650,	800
				GAZ_M20_doors_hood_white,		        *,			1650,	800
				GAZ_M20_doors_trunk_white,		        *,			1650,	800
				GAZ_M20_doors_driver_green,		        *,			1650,	800
				GAZ_M20_doors_codriver_green,		    *,			1650,	800
				GAZ_M20_doors_cargo1_green,		        *,			1650,	800
				GAZ_M20_doors_cargo2_green,		        *,			1650,	800
				GAZ_M20_doors_hood_green,		        *,			1650,	800
				GAZ_M20_doors_trunk_green,		        *,			1650,	800
				GAZ_M20_doors_driver_black,		        *,			1650,	800
				GAZ_M20_doors_codriver_black,		    *,			1650,	800
				GAZ_M20_doors_cargo1_black,		        *,			1650,	800
				GAZ_M20_doors_cargo2_black,		        *,			1650,	800
				GAZ_M20_doors_hood_black,		        *,			1650,	800
				GAZ_M20_doors_trunk_black,		        *,			1650,	800
				GAZ_M20_doors_driver_red,		        *,			1650,	800
				GAZ_M20_doors_codriver_red,		        *,			1650,	800
				GAZ_M20_doors_cargo1_red,		        *,			1650,	800
				GAZ_M20_doors_cargo2_red,		        *,			1650,	800
				GAZ_M20_doors_hood_red,		            *,			1650,	800
				GAZ_M20_doors_trunk_red,		        *,			1650,	800
				GAZ_M20_doors_driver_blue,		        *,			1650,	800
				GAZ_M20_doors_codriver_blue,		    *,			1650,	800
				GAZ_M20_doors_cargo1_blue,		        *,			1650,	800
				GAZ_M20_doors_cargo2_blue,		        *,			1650,	800
				GAZ_M20_doors_hood_blue,		        *,			1650,	800
				GAZ_M20_doors_trunk_blue,		        *,			1650,	800


	<Category> GAZ_3110_volga
				GAZ_3110_volga,		                    VNK,		140000,	68000
				GAZ_3110_volga_white,		            VNK,		140000,	68000
				GAZ_3110_volga_black,		            VNK,		140000,	68000
				GAZ_3110_volga_taxi,		            VNK,		150000,	68000
				GAZ_3110_volga_wheel,		            *,			1000,450
				GAZ_3110_volga_doors_driver,		    *,			1650,	800
				GAZ_3110_volga_doors_codriver,		    *,			1650,	800
				GAZ_3110_volga_doors_cargo1,		    *,			1650,	800
				GAZ_3110_volga_doors_cargo2,		    *,			1650,	800
				GAZ_3110_volga_doors_hood,		        *,			1650,	800
				GAZ_3110_volga_doors_trunk,		        *,			1650,	800
				GAZ_3110_volga_taxi_doors_driver,		*,			1650,	800
				GAZ_3110_volga_taxi_doors_codriver,		*,			1650,	800
				GAZ_3110_volga_taxi_doors_cargo1,		*,			1650,	800
				GAZ_3110_volga_taxi_doors_cargo2,		*,			1650,	800
				GAZ_3110_volga_taxi_doors_hood,		    *,			1650,	800
				GAZ_3110_volga_taxi_doors_trunk,		*,			1650,	800
				GAZ_3110_volga_doors_driver_white,		*,			1650,	800
				GAZ_3110_volga_doors_codriver_white,	*,			1650,	800
				GAZ_3110_volga_doors_cargo1_white,		*,			1650,	800
				GAZ_3110_volga_doors_cargo2_white,		*,			1650,	800
				GAZ_3110_volga_doors_hood_white,		*,			1650,	800
				GAZ_3110_volga_doors_trunk_white,		*,			1650,	800
				GAZ_3110_volga_doors_driver_black,		*,			1650,	800
				GAZ_3110_volga_doors_codriver_black,	*,			1650,	800
				GAZ_3110_volga_doors_cargo1_black,		*,			1650,	800
				GAZ_3110_volga_doors_cargo2_black,		*,			1650,	800
				GAZ_3110_volga_doors_hood_black,		*,			1650,	800
				GAZ_3110_volga_doors_trunk_black,		*,			1650,	800


	<Category> Willys_MB
				Willys_MB,		                        VNK,		110000,	54000
				Willys_MB_wheel,		                *,			1000,	450
				Willys_MB_doors_hood,		            *,			1650,	800


	<Category> ZIL_131
				ZIL_131,		                        VNK,		190000,	94000
				ZIL_131_tent,		                    VNK,		170000,	84000
				ZIL_131_Wheel,		                    *,			1000,	450
				ZIL_131_doors_driver,		            *,			1650,	800
				ZIL_131_doors_codriver,		            *,			1650,	800
				ZIL_131_doors_trunk,		            *,			1650,	800
				ZIL_131_tent_box,		                *,			1000,	450

	<Category> ZIL_130
				ZIL_130,		                        			VNK,		190000,	94000
				ZIL_130_green,		                        		VNK,		190000,	94000
				ZIL_130_kung,		                        		VNK,		190000,	94000
				ZIL_130_kung_green,		                        	VNK,		190000,	94000
				ZIL_130_ac40,		                        		VNK,		230000,	114000
				ZIL_130_ac40_Wheel,		                    		*,			1000,	450
				ZIL_130_ac40_WheelDouble,		            		*,			2000,	850
				ZIL_130_doors_driver,		            			*,			1650,	800
				ZIL_130_doors_codriver,		            			*,			1650,	800
				ZIL_130_doors_driver_green,		            		*,			1650,	800
				ZIL_130_doors_codriver_green,		            	*,			1650,	800
				ZIL_130_ac40_doors_driver,		            		*,			1650,	800
				ZIL_130_ac40_doors_codriver,		            	*,			1650,	800
				ZIL_130_ac40_doors_driver_Chernobyl,		        *,			1650,	800
				ZIL_130_ac40_doors_codriver_Chernobyl,		        *,			1650,	800
				ZIL_130_ac40_doors_driver_Livonia,		            *,			1650,	800
				ZIL_130_ac40_doors_codriver_Livonia,		        *,			1650,	800
				ZIL_130_ac40_doors_driver_Pripyat,		            *,			1650,	800
				ZIL_130_ac40_doors_codriver_Pripyat,		        *,			1650,	800
				ZIL_130_ac40_doors_driver_CHAES,		            *,			1650,	800
				ZIL_130_ac40_doors_codriver_CHAES,		            *,			1650,	800
				ZIL_131_doors_hood,		            				*,			1650,	800
				ZIL_131_doors_hood_green,		            		*,			1650,	800
				ZIL_130_ac40_doors_hood,		            		*,			1650,	800
				ZIL_130_ac40_doors_cargo,		            		*,			1650,	800
				ZIL_130_ac40_doors_cargo1,		            		*,			1650,	800
				ZIL_130_ac40_doors_trunk,		            		*,			1650,	800
				ZIL_130_ac40_doors_trunk2,		            		*,			1650,	800
				ZIL_130_ac40_doors_trunk3,		            		*,			1650,	800
				ZIL_131_doors_cargo,		            			*,			1650,	800
				ZIL_131_doors_cargo1,		            			*,			1650,	800
				ZIL_131_doors_trunk,		            			*,			1650,	800
				ZIL_131_doors_trunk2,		            			*,			1650,	800
				ZIL_131_doors_trunk3,		            			*,			1650,	800

	<Category> UAZ_3962
				UAZ_3962,		                        VNK,		150000,	74000
				UAZ_3962_green,		                    VNK,		150000,	74000
				UAZ_3962_MCHS,		                    VNK,		150000,	74000
				UAZ_3962_VAI,		                    VNK,		150000,	74000
				UAZ_3962_wheel,		                    *,			1000,	450
				UAZ_3962_doors_driver,		            *,			1650,	800
				UAZ_3962_doors_codriver,		        *,			1650,	800
				UAZ_3962_doors_cargo1,		            *,			1650,	800
				UAZ_3962_doors_trunk,		            *,			1650,	800
				UAZ_3962_doors_driver_green,		    *,			1650,	800
				UAZ_3962_doors_codriver_green,		    *,			1650,	800
				UAZ_3962_doors_cargo1_green,		    *,			1650,	800
				UAZ_3962_doors_trunk_green,		        *,			1650,	800
				UAZ_3962_doors_driver_MCHS,		        *,			1650,	800
				UAZ_3962_doors_codriver_MCHS,		    *,			1650,	800
				UAZ_3962_doors_cargo1_MCHS,		        *,			1650,	800
				UAZ_3962_doors_trunk_MCHS,		        *,			1650,	800
				UAZ_3962_doors_driver_VAI,		        *,			1650,	800
				UAZ_3962_doors_codriver_VAI,		    *,			1650,	800
				UAZ_3962_doors_cargo1_VAI,		        *,			1650,	800
				UAZ_3962_doors_trunk_VAI,		        *,			1650,	800


	<Category> GAZ_66_kuzov
				GAZ_66_kuzov,		                    VNK,		190000,	94000
				GAZ_66_kuzov_camo,		                VNK,		190000,	94000
				GAZ_66_kuzov_zima_camo,		            VNK,		190000,	94000
				GAZ_66_Wheel,		                    *,			1000,	450
				GAZ_66_doors_driver,		            *,			1650,	800
				GAZ_66_doors_driver_camo,		        *,			1650,	800
				GAZ_66_doors_driver_zima_camo,		    *,			1650,	800
				GAZ_66_doors_codriver,		            *,			1650,	800
				GAZ_66_doors_codriver_camo,		        *,			1650,	800
				GAZ_66_doors_codriver_zima_camo,		*,			1650,	800
				GAZ_66_doors_trunk,		                *,			1650,	800


	<Category> GAZ_66
				GAZ_66,		                            VNK,		200000,	98000
				GAZ_66_camo,		                    VNK,		200000,	98000
				GAZ_66_zima_camo,		                VNK,		200000,	98000
				GAZ_66_Wheel,		                    *,			1000,	450
				GAZ_66_doors_driver,		            *,			1650,	800
				GAZ_66_doors_driver_camo,		        *,			1650,	800
				GAZ_66_doors_driver_zima_camo,		    *,			1650,	800
				GAZ_66_doors_codriver,		            *,			1650,	800
				GAZ_66_doors_codriver_camo,		        *,			1650,	800
				GAZ_66_doors_codriver_zima_camo,		*,			1650,	800
				GAZ_66_doors_trunk,		                *,			1650,	800


	<Category> PAZ_672
				PAZ_672,		                        VNK,		205000,	101000
				PAZ_672_orange,		                    VNK,		205000,	101000
				PAZ_672_wheel,		                    *,			1000,	450
				PAZ_672_WheelDouble,		            *,			2000,	750
				PAZ_672_doors_driver,		            *,			1650,	800
				PAZ_672_doors_codriver,		            *,			1650,	800
				PAZ_672_doors_hood,		                *,			1650,	800
				PAZ_672_doors_driver_orang,		        *,			1650,	800
				PAZ_672_doors_codriver_orang,		    *,			1650,	800
	
	<Category> LUAZ_969
				LUAZ_969,		                        VNK,		110000,	54000
				LUAZ_969_green,		                    VNK,		110000,	54000
				LUAZ_969_blue,		                    VNK,		110000,	54000
				LUAZ_969_orang,		                    VNK,		110000,	54000
				LUAZ_969_tent,		                    *,			1500,	500
				LUAZ_969_wheel,		                    *,			1000,	450
				LUAZ_969_doors_driver,		            *,			1650,	800
				LUAZ_969_doors_codriver,		        *,			1650,	800
				LUAZ_969_doors_trunk,		            *,			1650,	800
				LUAZ_969_doors_driver_green,	       	*,			1650,	800
				LUAZ_969_doors_codriver_green,		    *,			1650,	800
				LUAZ_969_doors_trunk_green,		        *,			1650,	800
				LUAZ_969_doors_driver_blue,		        *,			1650,	800
				LUAZ_969_doors_codriver_blue,		    *,			1650,	800
				LUAZ_969_doors_trunk_blue,		        *,			1650,	800
				LUAZ_969_doors_driver_orang,		    *,			1650,	800
				LUAZ_969_doors_codriver_orang,		    *,			1650,	800
				LUAZ_969_doors_trunk_orang,		         *,			1650,	800

	<Category> URAL_375_1964
				URAL_375_1964,		                    VNK,		230000,	114000
				URAL_375_1964_zima,		                VNK,		235000,	116000
				URAL_375_1964_Wheel,		            *,			1000,	450
				URAL_375_1964_doors_driver,		        *,			1650,	800
				URAL_375_1964_doors_codriver,		    *,			1650,	800
				URAL_375_1964_doors_hood_zima,		    *,			1650,	800
				URAL_375_1964_doors_driver_zima,		*,			1650,	800
				URAL_375_1964_doors_codriver_zima,		*,			1650,	800
				URAL_375_1964_doors_hood_zima,		    *,			1650,	800
				URAL_375_1964_tent,		                *,			1650,	800

	<Category> UAZ_469_Hunter
				UAZ_469_Hunter,		                    VNK,		200000,	98000
				UAZ_469_Hunter_wheel,		            *,			1000,	450
				UAZ_469_Hunter_doors_driver,		    *,			1650,	800
				UAZ_469_Hunter_doors_codriver,		    *,			1650,	800
				UAZ_469_Hunter_doors_cargo1,		    *,			1650,	800
				UAZ_469_Hunter_doors_cargo2,		    *,			1650,	800

	<Category> kraz_255B
				kraz_255B,		                        VNK,		240000,	119000
				kraz_255B_kung,		                    VNK,		190000,	94000
				kraz_255B_Wheel,		                *,			1000,	450
				kraz_255B_doors_driver,		            *,			1650,	800
				kraz_255B_doors_codriver,		        *,			1650,	800
				kraz_255B_doors_trunk,		            *,			1650,	800
				Kraz_255B_doors_trunk_kung,		        *,			1650,	800
				kraz_255B_doors_hood,		            *,			1650,	800

	<Category> KAVZ685_RF
				KAVZ685_RF,		                        VNK,		160000,	78000
				KAVZ685_RF_beige,		                VNK,		160000,	78000
				KAVZ685_RF_red,		                    VNK,		160000,	78000
				KAVZ685_RF_green,		                VNK,		160000,	78000
				KAVZ685_RF_wheel,		                *,			1000,	450
				KAVZ685_RF_WheelDouble,		            *,			2000,	750
				KAVZ685_RF_doors_driver,		        *,			1650,	800
				KAVZ685_RF_doors_cargo1,		        *,			1650,	800
				KAVZ685_RF_doors_hood,		            *,			1650,	800
				KAVZ685_RF_doors_trunk,		            *,			1650,	800
				KAVZ685_RF_doors_driver_beige,		    *,			1650,	800
				KAVZ685_RF_doors_cargo1_beige,		    *,			1650,	800
				KAVZ685_RF_doors_hood1_beige,		    *,			1650,	800
				KAVZ685_RF_doors_trunk1_beige,		    *,			1650,	800
				KAVZ685_RF_doors_driver_red,		    *,			1650,	800
				KAVZ685_RF_doors_cargo1_red,		    *,			1650,	800
				KAVZ685_RF_doors_hood1_red,		    	*,			1650,	800
				KAVZ685_RF_doors_trunk_red,		        *,			1650,	800
				KAVZ685_RF_doors_driver_green,		    *,			1650,	800
				KAVZ685_RF_doors_cargo1_green,		    *,			1650,	800
				KAVZ685_RF_doors_hood_green,		    *,			1650,	800
				KAVZ685_RF_doors_trunk_green,		    *,			1650,	800

	<Category> ij_2715_RF
				ij_2715_RF,		                        VNK,		110000,	54000
				ij_2715_RF_blue,		                VNK,		110000,	54000
				ij_2715_RF_green,		                VNK,		110000,	54000
				ij_2715_RF_red,		                    VNK,		110000,	54000
				ij_2715_RF_wheel,		                *,			1000,	450
				ij_2715_RF_doors_driver,		        *,			1650,	800
				ij_2715_RF_doors_codriver,		        *,			1650,	800
				ij_2715_RF_doors_cargo1,		        *,			1650,	800
				ij_2715_RF_doors_cargo2,		        *,			1650,	800
				ij_2715_RF_doors_hood,		            *,			1650,	800
				ij_2715_RF_doors_driver_blue,		    *,			1650,	800
				ij_2715_RF_doors_codriver_blue,		    *,			1650,	800
				ij_2715_RF_doors_cargo1_blue,		    *,			1650,	800
				ij_2715_RF_doors_cargo2_blue,		    *,			1650,	800
				ij_2715_RF_doors_hood_blue,		        *,			1650,	800
				ij_2715_RF_doors_driver_green,		    *,			1650,	800
				ij_2715_RF_doors_codriver_green,		*,			1650,	800
				ij_2715_RF_doors_cargo1_green,		    *,			1650,	800
				ij_2715_RF_doors_cargo2_green,		    *,			1650,	800
				ij_2715_RF_doors_hood_green,		    *,			1650,	800
				ij_2715_RF_doors_driver_red,		    *,			1650,	800
				ij_2715_RF_doors_codriver_red,		    *,			1650,	800
				ij_2715_RF_doors_cargo1_red,		    *,			1650,	800
				ij_2715_RF_doors_cargo2_red,		    *,			1650,	800
				ij_2715_RF_doors_hood_red,		        *,			1650,	800


	<Category> LIAZ_677RF
				LIAZ_677RF,		                        VNK,		220000,	109000
				LIAZ_677RF_wheel,		                *,			1000,	450
				LIAZ_677RF_WheelDouble,		            *,			2000,	750
				LIAZ_677RF_doors_driver,		        *,			1650,	800
				LIAZ_677RF_doors_cargo1,		        *,			1650,	800
				LIAZ_677RF_doors_hood,		            *,			1650,	800
				LIAZ_677RF_doors_trunk,		            *,			1650,	800


	<Category> vaz_2106_RF
				vaz_2106_RF,		                    VNK,		80000,	39000
				vaz_2106_RF_light_green,		        VNK,		80000,	39000
				vaz_2106_RF_red,		                VNK,		80000,	39000
				vaz_2106_RF_white,		                VNK,		80000,	39000
				vaz_2106_RF_wine,		                VNK,		80000,	39000
				vaz_2106_RF_yellow,		                VNK,		80000,	39000
				vaz_2106_RF_wheel,		                *,			1000,	450
				vaz_2106_RF_doors_driver,		        *,			1650,	800
				vaz_2106_RF_doors_codriver,		        *,			1650,	800
				vaz_2106_RF_doors_cargo1,		        *,			1650,	800
				vaz_2106_RF_doors_cargo2,		        *,			1650,	800
				vaz_2106_RF_doors_hood,		            *,			1650,	800
				vaz_2106_RF_doors_trunk,		        *,			1650,	800
				vaz_2106_RF_doors_driver_light_green,	*,			1650,	800
				vaz_2106_RF_doors_codriver_light_green,	*,			1650,	800
				vaz_2106_RF_doors_cargo1_light_green,	*,			1650,	800
				vaz_2106_RF_doors_cargo2_light_green,	*,			1650,	800
				vaz_2106_RF_doors_hood_light_green,		*,			1650,	800
				vaz_2106_RF_doors_trunk_light_green,	*,			1650,	800
				vaz_2106_RF_doors_driver_red,		    *,			1650,	800
				vaz_2106_RF_doors_codriver_red,		    *,			1650,	800
				vaz_2106_RF_doors_cargo1_red,		    *,			1650,	800
				vaz_2106_RF_doors_cargo2_red,		    *,			1650,	800
				vaz_2106_RF_doors_hood_red,		        *,			1650,	800
				vaz_2106_RF_doors_trunk_red,		    *,			1650,	800
				vaz_2106_RF_doors_driver_white,		    *,			1650,	800
				vaz_2106_RF_doors_codriver_white,		*,			1650,	800
				vaz_2106_RF_doors_cargo1_white,		    *,			1650,	800
				vaz_2106_RF_doors_cargo2_white,		    *,			1650,	800
				vaz_2106_RF_doors_hood_white,		    *,			1650,	800
				vaz_2106_RF_doors_trunk_white,		    *,			1650,	800
				vaz_2106_RF_doors_driver_wine,		    *,			1650,	800
				vaz_2106_RF_doors_codriver_wine,		*,			1650,	800
				vaz_2106_RF_doors_cargo1_wine,		    *,			1650,	800
				vaz_2106_RF_doors_cargo2_wine,		    *,			1650,	800
				vaz_2106_RF_doors_hood_wine,		    *,			1650,	800
				vaz_2106_RF_doors_trunk_wine,		    *,			1650,	800
				vaz_2106_RF_doors_driver_yellow,		*,			1650,	800
				vaz_2106_RF_doors_codriver_yellow,		*,			1650,	800
				vaz_2106_RF_doors_cargo1_yellow,		*,			1650,	800
				vaz_2106_RF_doors_cargo2_yellow,		*,			1650,	800
				vaz_2106_RF_doors_hood_yellow,		    *,			1650,	800
				vaz_2106_RF_doors_trunk_yellow,		    *,			1650,	800
				
	<Category> VAZ_21099R
				VAZ_21099R,		                    	VNK,		80000,	39000
				VAZ_21099R_black,		        		VNK,		80000,	39000
				VAZ_21099R_white,		                VNK,		80000,	39000
				VAZ_21099R_blue,		                VNK,		80000,	39000
				VAZ_21099R_wheel,		                *,			1000,	450
				VAZ_21099R_doors_driver,		        *,			1650,	800
				VAZ_21099R_doors_codriver,		        *,			1650,	800
				VAZ_21099R_doors_cargo1,		        *,			1650,	800
				VAZ_21099R_doors_cargo2,		        *,			1650,	800
				VAZ_21099R_doors_hood,		            *,			1650,	800
				VAZ_21099R_doors_trunk,		        	*,			1650,	800
				VAZ_21099R_doors_driver_black,		    *,			1650,	800
				VAZ_21099R_doors_codriver_black,		*,			1650,	800
				VAZ_21099R_doors_cargo1_black,		    *,			1650,	800
				VAZ_21099R_doors_cargo2_black,		    *,			1650,	800
				VAZ_21099R_doors_hood_black,		    *,			1650,	800
				VAZ_21099R_doors_trunk_black,		    *,			1650,	800
				VAZ_21099R_doors_driver_white,		    *,			1650,	800
				VAZ_21099R_doors_codriver_white,		*,			1650,	800
				VAZ_21099R_doors_cargo1_white,		    *,			1650,	800
				VAZ_21099R_doors_cargo2_white,		    *,			1650,	800
				VAZ_21099R_doors_hood_white,		    *,			1650,	800
				VAZ_21099R_doors_trunk_white,		    *,			1650,	800
				VAZ_21099R_doors_driver_blue,		    *,			1650,	800
				VAZ_21099R_doors_codriver_blue,		    *,			1650,	800
				VAZ_21099R_doors_cargo1_blue,		    *,			1650,	800
				VAZ_21099R_doors_cargo2_blue,		    *,			1650,	800
				VAZ_21099R_doors_hood_blue,		        *,			1650,	800
				VAZ_21099R_doors_trunk_blue,		    *,			1650,	800
				

	<Category> VAZ_2109_RF
				VAZ_2109_RF,		                    VNK,		115000,	56000
				VAZ_2109_RF_green,		                VNK,		115000,	56000
				VAZ_2109_RF_white,		                VNK,		115000,	56000
				VAZ_2109_RF_blue,		                VNK,		115000,	56000
				VAZ_2109_RF_rust,		                VNK,		115000,	56000
				VAZ_2109_RF_green_rust,		            VNK,		115000,	56000
				VAZ_2109_RF_white_rust,		            VNK,		115000,	56000
				VAZ_2109_RF_blue_rust,		            VNK,		115000,	56000
				VAZ_2109_RF_doors_driver,		        *,			1650,	800
				VAZ_2109_RF_doors_codriver,		        *,			1650,	800
				VAZ_2109_RF_doors_cargo1,		        *,			1650,	800
				VAZ_2109_RF_doors_cargo2,		        *,			1650,	800
				VAZ_2109_RF_doors_trunk,		        *,			1650,	800
				VAZ_2109_RF_doors_hood,		            *,			1650,	800
				VAZ_2109_RF_doors_driver_green,		    *,			1650,	800
				VAZ_2109_RF_doors_codriver_green,		*,			1650,	800
				VAZ_2109_RF_doors_cargo1_green,		    *,			1650,	800
				VAZ_2109_RF_doors_cargo2_green,		    *,			1650,	800
				VAZ_2109_RF_doors_trunk_green,		    *,			1650,	800
				VAZ_2109_RF_doors_hood_green,		    *,			1650,	800
				VAZ_2109_RF_doors_driver_white,		    *,			1650,	800
				VAZ_2109_RF_doors_codriver_white,		*,			1650,	800
				VAZ_2109_RF_doors_cargo1_white,		    *,			1650,	800
				VAZ_2109_RF_doors_cargo2_white,		    *,			1650,	800
				VAZ_2109_RF_doors_trunk_white,		    *,			1650,	800
				VAZ_2109_RF_doors_hood_white,		    *,			1650,	800
				VAZ_2109_RF_doors_driver_blue,		    *,			1650,	800
